"Id";"Identificador";"Empaquetado";"Cantidad";"Identificación";"Suministrador y ref";
1;"M2,M2,M2,M2";"MountingHole_2.2mm_M2_Pad_Via";4;"MountingHole_2.2mm_M2_Pad_Via";;;
2;"C1,C2";"C_0603_HandSoldering";2;"20pF";;;
3;"C4";"C_0603_HandSoldering";1;"470pF";;;
4;"C5,C7";"C_0603_HandSoldering";2;"4.7uF";;;
5;"C6";"C_0603_HandSoldering";1;"33pF";;;
6;"P3";"Socket_Strip_Angled_2x15";1;"GPIO";;;
7;"P4";"Pin_Header_Straight_2x05";1;"Vsel";;;
8;"Q1,Q2,Q3,Q4,Q5";"SOT-23";5;"BSS138";;;
9;"R1,R2,R3,R4,R6,R7,R8,R10,R16,R17";"C_0603_HandSoldering";10;"10k";;;
10;"R5";"C_0603_HandSoldering";1;"499k";;;
11;"R9";"C_0603_HandSoldering";1;"63.4k";;;
12;"R11";"C_0603_HandSoldering";1;"93.1k";;;
13;"R12";"C_0603_HandSoldering";1;"200k";;;
14;"R13";"C_0603_HandSoldering";1;"160k";;;
15;"R14";"C_0603_HandSoldering";1;"402k";;;
16;"R15";"C_0603_HandSoldering";1;"4.99k";;;
17;"RV1";"Potentiometer_Trimmer-Suntan-TSR-3386C";1;"16M";;;
18;"U1";"SOIC-28";1;"PIC18(L)F2550-I/SO";;;
19;"U2";"5-TSOT";1;"MCP1603BT-ADJI/OS";;;
20;"Y1";"Crystal_HC49-U_Vertical";1;"4MHz";;;
21;"L1";"Inductor_NR4018_SMD_footprint";1;"4.7uH";;;
22;"P2,P5";"USB_Micro-B";2;"USB_OTG";;;
23;"C3,C8";"CP_Elec_4x5.8";2;"10uF";;;
24;"P1";"Pin_Header_Straight_1x06_Pitch2.54mm";1;"ICSP";;;
25;"REF**";"SOIC-28W_7.5x17.9mm_Pitch1.27mm";1;"SOIC-28W_7.5x17.9mm_Pitch1.27mm";;;
